"","SITE_ID","YEAR","VISIT_NO","SAMPLED_SECCHI","DATE_SECCHI","SECMEAN","CLEAR_TO_BOTTOM","FLAG_SECCHI","COMMENT_SECCHI"
"1","NLA06608-0001",2007,1,"YES","7/31/2007",6.4,"","",""
"2","NLA06608-0002",2007,1,"YES","6/14/2007",0.55,"","",""
"3","NLA06608-0002",2007,2,"YES","7/23/2007",0.45,"","",""
"4","NLA06608-0003",2007,1,"YES","8/29/2007",0.71,"","",""
"5","NLA06608-0003",2007,2,"YES","9/6/2007",0.49,"","",""
"6","NLA06608-0004",2007,1,"YES","7/10/2007",1.8,"","",""
"7","NLA06608-0004",2007,2,"YES","9/11/2007",1,"","",""
"8","NLA06608-0005",2007,1,"YES, CLEAR TO BOTTOM","7/18/2007",NA,"Y","",""
"9","NLA06608-0005",2007,2,"YES, CLEAR TO BOTTOM","8/22/2007",NA,"Y","",""
"10","NLA06608-0006",2007,1,"YES","7/17/2007",3.21,"","","10.6 FT FOR BOTH"
"11","NLA06608-0006",2007,2,"YES","8/30/2007",4.1,"","",""
"12","NLA06608-0007",2007,1,"YES","7/24/2007",3.15,"","",""
"13","NLA06608-0007",2007,2,"YES","9/6/2007",3.35,"","",""
"14","NLA06608-0008",2007,1,"YES","7/12/2007",0.79,"","",""
"15","NLA06608-0008",2007,2,"YES","8/22/2007",0.41,"","",""
"16","NLA06608-0010",2007,1,"YES","7/17/2007",4.48,"","",""
"17","NLA06608-0010",2007,2,"YES","8/18/2007",2.6,"","",""
"18","NLA06608-0012",2007,1,"YES","6/13/2007",0.31,"","",""
"19","NLA06608-0012",2007,2,"YES","9/18/2007",0.27,"","",""
"20","NLA06608-0013",2007,1,"YES","9/4/2007",0.65,"","",""
"21","NLA06608-0013",2007,2,"YES","9/14/2007",1.05,"","",""
"22","NLA06608-0014",2007,1,"YES","8/6/2007",0.85,"","",""
"23","NLA06608-0014",2007,2,"YES","8/23/2007",0.63,"","",""
"24","NLA06608-0015",2007,1,"YES","7/10/2007",0.37,"","",""
"25","NLA06608-0015",2007,2,"YES","8/29/2007",0.38,"","",""
"26","NLA06608-0016",2007,1,"YES","6/27/2007",0.54,"","",""
"27","NLA06608-0016",2007,2,"YES","7/11/2007",0.5,"","",""
"28","NLA06608-0019",2007,1,"YES","6/11/2007",0.35,"","","VERY STIRRED"
"29","NLA06608-0019",2007,2,"YES","8/7/2007",0.55,"","",""
"30","NLA06608-0020",2007,1,"YES","6/11/2007",0.69,"","",""
"31","NLA06608-0020",2007,2,"YES","7/2/2007",1.07,"","",""
"32","NLA06608-0021",2007,1,"YES","7/27/2007",7.1,"","",""
"33","NLA06608-0021",2007,2,"YES","8/30/2007",4.75,"","",""
"34","NLA06608-0023",2007,1,"YES","8/9/2007",0.95,"","",""
"35","NLA06608-0023",2007,2,"YES","9/19/2007",1.3,"","",""
"36","NLA06608-0024",2007,1,"YES","7/11/2007",0.9,"","",""
"37","NLA06608-0024",2007,2,"YES","8/14/2007",1.08,"","",""
"38","NLA06608-0025",2007,1,"YES","6/18/2007",3.55,"","",""
"39","NLA06608-0025",2007,2,"YES","7/18/2007",3.45,"","",""
"40","NLA06608-0029",2007,1,"YES","7/2/2007",0.27,"","",""
"41","NLA06608-0029",2007,2,"YES","9/11/2007",0.25,"","",""
"42","NLA06608-0031",2007,1,"YES","6/13/2007",0.98,"","",""
"43","NLA06608-0031",2007,2,"YES","9/5/2007",0.9,"","",""
